session_id,subject_id,segment,key_id,key_category,press_time_ms,release_time_ms,dwell_ms,shift_held,shift_hold_ms
session_003,candidate_09,pangram,key_16,alphanum,18555.1,18691.1,136,False,0
session_003,candidate_09,pangram,key_07,alphanum,18699.2,18858.6,159.4,False,0
session_003,candidate_09,pangram,key_18,space,18833.1,18932.6,99.5,False,0
session_003,candidate_09,pangram,key_29,alphanum,18966.5,19084,117.5,False,0
session_003,candidate_09,pangram,key_23,alphanum,19166.5,19256.6,90.1,False,0
session_003,candidate_09,pangram,key_20,alphanum,19452.8,19598.8,146,False,0
session_003,candidate_09,pangram,key_09,alphanum,19566.3,19682.7,116.4,False,0
session_003,candidate_09,pangram,key_17,alphanum,20200.7,20264.5,63.8,False,0
session_003,candidate_09,pangram,key_15,alphanum,20277.1,20360.4,83.3,False,0
session_003,candidate_09,pangram,key_06,alphanum,20351,20469.3,118.3,False,0
session_003,candidate_09,pangram,key_18,space,20464.7,20572.7,108,False,0
session_003,candidate_09,pangram,key_14,alphanum,20599.3,20716.8,117.5,False,0
session_003,candidate_09,pangram,key_22,alphanum,20700.2,20784.2,84,False,0
session_003,candidate_09,pangram,key_25,alphanum,20869.1,21022,152.9,False,0
session_003,candidate_09,pangram,key_06,alphanum,21011.1,21118.2,107.1,False,0
session_003,candidate_09,pangram,key_18,space,21123.3,21198.8,75.5,False,0
session_003,candidate_09,pangram,key_12,alphanum,21315.5,21389.8,74.3,False,0
session_003,candidate_09,pangram,key_26,alphanum,21444.1,21559.8,115.7,False,0
session_003,candidate_09,pangram,key_24,alphanum,21566.5,21676.7,110.2,False,0
session_003,candidate_09,pangram,key_13,backspace,22121,22172.8,51.8,False,0
session_003,candidate_09,pangram,key_13,backspace,22258.8,22307.3,48.5,False,0
session_003,candidate_09,pangram,key_24,alphanum,22488.5,22620.7,132.2,False,0
session_003,candidate_09,pangram,key_26,alphanum,22600.7,22699.7,99,False,0
session_003,candidate_09,pangram,key_22,alphanum,22788.3,22955.2,166.9,False,0
session_003,candidate_09,pangram,key_03,alphanum,22892.2,23000,107.8,False,0
session_003,candidate_09,pangram,key_11,alphanum,23026,23133.5,107.5,False,0
session_003,candidate_09,pangram,key_18,space,23157,23256.7,99.7,False,0
session_003,candidate_09,pangram,key_10,alphanum,23326.7,23423.2,96.5,False,0
session_003,candidate_09,pangram,key_22,alphanum,23421.6,23499.3,77.7,False,0
session_003,candidate_09,pangram,key_26,alphanum,23573.2,23689.5,116.3,False,0
session_003,candidate_09,pangram,key_16,alphanum,23755.7,23960.4,204.7,False,0
session_003,candidate_09,pangram,key_01,alphanum,24005.9,24101.3,95.4,False,0
session_003,candidate_09,pangram,key_28,alphanum,24252.3,24392.4,140.1,False,0
session_003,candidate_09,pangram,key_07,alphanum,24333,24484.5,151.5,False,0
session_003,candidate_09,pangram,key_18,space,24460.9,24565.9,105,False,0
session_003,candidate_09,pangram,key_29,alphanum,24599.6,24706.1,106.5,False,0
session_003,candidate_09,pangram,key_23,alphanum,24799.5,24881.2,81.7,False,0
session_003,candidate_09,pangram,key_20,alphanum,25084.5,25171.9,87.4,False,0
session_003,candidate_09,pangram,key_09,alphanum,25186,25316.9,130.9,False,0
session_003,candidate_09,pangram,key_18,space,25272.3,25404.5,132.2,False,0
session_003,candidate_09,pangram,key_27,alphanum,25475.1,25599.4,124.3,False,0
session_003,candidate_09,pangram,key_23,alphanum,25555.3,25670.6,115.3,False,0
