session_id,subject_id,time_ms,dx,dy
session_003,candidate_09,4350,-15.3047,0
session_003,candidate_09,4366.6,-20.5508,-0.648438
session_003,candidate_09,4384.1,-13.6953,-1.74219
session_003,candidate_09,4400,-17.375,-2.48438
session_003,candidate_09,4416.6,-25.2305,-4.27344
session_003,candidate_09,4433.2,-13.6641,-3.35547
session_003,candidate_09,4449.9,-18.4102,-5.07422
session_003,candidate_09,4466.7,-17.375,-5.58984
session_003,candidate_09,4483.3,-14.4766,-4.62891
session_003,candidate_09,4500,-12.668,-3.83984
session_003,candidate_09,4516.7,-11.8047,-3.75781
session_003,candidate_09,4533.3,-11.8047,-4.29688
session_003,candidate_09,4550,-12.418,-5.64453
session_003,candidate_09,4566.6,-13.3203,-6.37891
session_003,candidate_09,4583.2,-14.2188,-6.51953
session_003,candidate_09,4600,-14.1133,-7.64062
session_003,candidate_09,4616.7,-13.3203,-7.53516
session_003,candidate_09,4633.3,-13.6289,-8.29688
session_003,candidate_09,4649.9,-6.51953,-4.14844
session_003,candidate_09,4666.6,-14.7188,-10.0039
session_003,candidate_09,4683.3,-6.05859,-4.16406
session_003,candidate_09,4700.1,-5.91797,-5.01172
session_003,candidate_09,4716.7,-6.05078,-5.26562
session_003,candidate_09,4733.4,-2.58203,-3.32031
session_003,candidate_09,4749.9,-2.58594,-3.32031
session_003,candidate_09,4766.6,-2.21875,-3.69531
session_003,candidate_09,4783.2,-2.30078,-4.23047
session_003,candidate_09,4800,-2.30078,-4.23047
session_003,candidate_09,4816.5,-1.97656,-4.73438
session_003,candidate_09,4833.3,-1.53516,-4.22266
session_003,candidate_09,4850.1,-1.42578,-3.21094
session_003,candidate_09,4866.6,-0.714844,-3.21484
session_003,candidate_09,4883.2,-0.3125,-1.87891
session_003,candidate_09,4900,-0.289062,-1.14453
session_003,candidate_09,4933.7,0,-0.269531
session_003,candidate_09,5067.1,0.570312,1.03516
session_003,candidate_09,5350.5,-4.32422,0
session_003,candidate_09,5367.2,-12.668,0
session_003,candidate_09,5383.8,-18.4141,-0.621094
session_003,candidate_09,5400.3,-14.5898,-2.9375
session_003,candidate_09,5417.1,-18.3477,-3.79688
session_003,candidate_09,5433.8,-16.3906,-3.01953
session_003,candidate_09,5450.4,-14.4766,-2.88281
session_003,candidate_09,5467,-13.5156,-2.25391
session_003,candidate_09,5483.6,-11.75,-2.14062
session_003,candidate_09,5499.5,-7.46875,-1.81641
session_003,candidate_09,5517,-6.57812,-1.75391
session_003,candidate_09,5533.6,-4.22656,-1.53516
session_003,candidate_09,5550.3,-3.21484,-1.08203
session_003,candidate_09,5566.9,-2.30859,-1.3125
session_003,candidate_09,5583.6,-1.87891,-0.628906
session_003,candidate_09,5600.2,-1.51562,-0.917969
session_003,candidate_09,5616.9,-1.09766,-0.8125
session_003,candidate_09,5633.7,-0.519531,-0.257812
session_003,candidate_09,5700.2,0.230469,0
session_003,candidate_09,5717,1.50391,0
session_003,candidate_09,5733.6,1.50781,0
session_003,candidate_09,5750.6,3.20703,0.707031
session_003,candidate_09,5766.8,4.81641,0.789062
session_003,candidate_09,5783.5,8.70312,0
session_003,candidate_09,5799.2,10.9805,0
session_003,candidate_09,5816,18.668,0
session_003,candidate_09,5833.5,19.3164,-2.57812
session_003,candidate_09,5850.2,20.543,-2.65234
session_003,candidate_09,5865.9,23.9414,-2.11719
session_003,candidate_09,5883.6,25.1641,-1.44141
session_003,candidate_09,5900.2,25.1641,-2.17578
session_003,candidate_09,5916.8,17.875,-1.94922
session_003,candidate_09,5933.5,20.4805,-2
session_003,candidate_09,5950.1,19.4453,-2.59375
session_003,candidate_09,5966.9,17.3672,-1.86328
session_003,candidate_09,5983.6,17.3672,-0.621094
session_003,candidate_09,6000.2,17.3477,0
session_003,candidate_09,6017,14.4219,0
session_003,candidate_09,6033.7,12.6562,0
session_003,candidate_09,6050.3,15.3047,0.480469
session_003,candidate_09,6067,4.32422,0.480469
session_003,candidate_09,6083.7,12.0664,1.38281
session_003,candidate_09,6100.2,7.92578,1.85938
session_003,candidate_09,6116.9,5.98438,1.24219
session_003,candidate_09,6133.5,8.87109,1.91797
session_003,candidate_09,6150.3,4.98438,0.789062
session_003,candidate_09,6166.9,7.29688,0.902344
session_003,candidate_09,6183.7,5.94531,0
session_003,candidate_09,6199.2,6.59375,0.871094
session_003,candidate_09,6216.1,7.92188,0.925781
