session_id,subject_id,trial_index,pattern,time_ms,offset_x,offset_y,error_px
session_003,candidate_09,1,sinusoidal,3366.67,-74.6716,8.13672,75.1136
session_003,candidate_09,1,sinusoidal,3383.27,-81.1652,8.13672,81.572
session_003,candidate_09,1,sinusoidal,3400.07,-87.6241,8.13672,88.0011
session_003,candidate_09,1,sinusoidal,3416.67,-93.3487,8.13672,93.7026
session_003,candidate_09,1,sinusoidal,3433.27,-96.5987,8.55859,96.9771
session_003,candidate_09,1,sinusoidal,3450.07,-98.2167,9.03906,98.6317
session_003,candidate_09,1,sinusoidal,3466.67,-96.9907,9.03906,97.4109
session_003,candidate_09,1,sinusoidal,3483.27,-94.244,9.60156,94.7318
session_003,candidate_09,1,sinusoidal,3499.97,-91.792,9.60156,92.2928
session_003,candidate_09,1,sinusoidal,3516.67,-90.4772,9.60156,90.9853
session_003,candidate_09,1,sinusoidal,3549.97,-88.2328,8.52344,88.6435
session_003,candidate_09,1,sinusoidal,3566.67,-89.0208,6.99219,89.295
session_003,candidate_09,1,sinusoidal,3583.27,-89.901,5.96875,90.0989
session_003,candidate_09,1,sinusoidal,3599.97,-91.7625,5.46094,91.9249
session_003,candidate_09,1,sinusoidal,3616.67,-93.7599,5.46094,93.9188
session_003,candidate_09,1,sinusoidal,3633.27,-95.0171,5.46094,95.1739
session_003,candidate_09,1,sinusoidal,3650.07,-94.8797,4.92188,95.0073
session_003,candidate_09,1,sinusoidal,3666.67,-93.8218,4.92188,93.9508
session_003,candidate_09,1,sinusoidal,3683.37,-93.831,4.92188,93.96
session_003,candidate_09,1,sinusoidal,3716.47,-93.6766,3.84375,93.7554
session_003,candidate_09,1,sinusoidal,3733.37,-93.8977,2.76562,93.9384
session_003,candidate_09,1,sinusoidal,3749.97,-93.0484,1.09766,93.0548
session_003,candidate_09,1,sinusoidal,3766.67,-83.6993,-1.22266,83.7083
session_003,candidate_09,1,sinusoidal,3783.37,-82.0736,-2.35156,82.1072
session_003,candidate_09,1,sinusoidal,3800.07,-81.3362,-2.35156,81.3701
session_003,candidate_09,1,sinusoidal,3816.67,-80.3982,-2.35156,80.4326
session_003,candidate_09,1,sinusoidal,3833.37,-81.1602,-2.35156,81.1942
session_003,candidate_09,1,sinusoidal,3849.97,-82.6117,-2.35156,82.6452
session_003,candidate_09,1,sinusoidal,3866.67,-82.4292,-1.81641,82.4493
session_003,candidate_09,1,sinusoidal,3883.37,-82.1144,-0.746094,82.1177
session_003,candidate_09,1,sinusoidal,3900.07,-80.8171,0.351562,80.8178
session_003,candidate_09,1,sinusoidal,3916.67,-77.523,1.50391,77.5376
session_003,candidate_09,1,sinusoidal,3933.37,-73.2203,2.09375,73.2503
session_003,candidate_09,1,sinusoidal,3950.07,-68.8199,2.68359,68.8722
session_003,candidate_09,1,sinusoidal,3966.67,-57.7444,2.68359,57.8067
session_003,candidate_09,1,sinusoidal,3983.37,-55.5511,2.68359,55.6158
session_003,candidate_09,1,sinusoidal,3999.97,-50.4285,2.68359,50.4998
session_003,candidate_09,1,sinusoidal,4033.37,-41.7846,2.68359,41.8707
session_003,candidate_09,1,sinusoidal,4065.67,-41.1269,2.68359,41.2144
session_003,candidate_09,1,sinusoidal,4083.37,-39.8253,2.68359,39.9156
session_003,candidate_09,1,sinusoidal,4100.07,-40.8433,2.68359,40.9314
session_003,candidate_09,1,sinusoidal,4116.67,-41.5354,2.68359,41.622
session_003,candidate_09,1,sinusoidal,4133.37,-39.7683,2.68359,39.8588
session_003,candidate_09,1,sinusoidal,4150.07,-34.8853,2.68359,34.9884
session_003,candidate_09,1,sinusoidal,4166.57,-28.1288,2.68359,28.2565
session_003,candidate_09,1,sinusoidal,4183.27,-23.8047,2.68359,23.9555
session_003,candidate_09,1,sinusoidal,4199.97,-19.969,2.68359,20.1486
session_003,candidate_09,1,sinusoidal,4216.67,-16.6989,2.68359,16.9132
session_003,candidate_09,1,sinusoidal,4233.37,-14.1892,2.68359,14.4407
session_003,candidate_09,1,sinusoidal,4250.07,-14.9554,2.68359,15.1942
session_003,candidate_09,1,sinusoidal,4266.77,-17.9782,2.68359,18.1774
session_003,candidate_09,1,sinusoidal,4283.37,-21.8251,2.68359,21.9895
session_003,candidate_09,1,sinusoidal,4299.97,-25.9821,2.68359,26.1203
session_003,candidate_09,1,sinusoidal,4316.77,-30.1253,2.68359,30.2446
session_003,candidate_09,1,sinusoidal,4333.37,-33.5169,2.68359,33.6242
session_003,candidate_09,1,sinusoidal,4349.97,-35.0496,2.68359,35.1522
session_003,candidate_09,1,sinusoidal,4366.67,-35.7889,2.68359,35.8894
session_003,candidate_09,1,sinusoidal,4383.27,-35.1503,3.05078,35.2824
session_003,candidate_09,1,sinusoidal,4399.97,-34.1236,3.05078,34.2597
session_003,candidate_09,1,sinusoidal,4416.47,-32.1303,3.05078,32.2748
session_003,candidate_09,1,sinusoidal,4433.27,-30.7822,3.05078,30.933
session_003,candidate_09,1,sinusoidal,4466.67,-29.8084,3.05078,29.9641
session_003,candidate_09,1,sinusoidal,4483.37,-29.5865,3.05078,29.7433
session_003,candidate_09,1,sinusoidal,4499.97,-29.2615,3.05078,29.4201
session_003,candidate_09,1,sinusoidal,4516.77,-28.7782,3.05078,28.9394
session_003,candidate_09,1,sinusoidal,4533.27,-28.1473,3.05078,28.3121
